"","f1_irr","f2_rel","f3_rel","f4_rel","f5_irr","f6_rel","f7_irr","f8_rel","f9_irr","f10_irr","target"
"1",0,0,1,1,1,0,1,1,0,0,1
"2",1,0,0,0,0,0,0,1,0,0,1
"3",1,1,1,1,0,0,1,1,0,1,0
"4",1,1,1,1,1,0,1,1,0,1,0
"5",0,0,0,0,1,1,0,1,1,1,0
"6",1,1,0,1,1,1,1,1,0,1,0
"7",0,0,1,1,0,0,1,1,0,0,1
"8",0,0,0,0,1,1,0,0,1,0,1
"9",0,1,0,0,1,0,0,0,0,1,1
"10",1,1,0,1,1,0,1,0,0,1,0
"11",0,0,1,1,0,1,0,1,1,0,0
"12",1,0,1,1,1,1,0,0,0,0,1
"13",1,1,1,0,0,1,1,1,1,0,0
"14",1,1,1,0,1,0,0,1,0,0,1
"15",0,1,0,0,1,0,0,1,1,0,0
"16",1,0,0,0,0,0,1,0,1,1,0
"17",0,0,0,0,1,0,1,1,0,1,1
"18",1,0,0,1,0,0,0,0,0,1,1
"19",0,0,0,0,0,1,1,1,0,1,0
"20",0,0,1,0,0,0,1,0,0,1,1
"21",0,0,0,1,1,0,0,0,1,0,1
"22",1,1,1,0,0,1,1,1,0,0,0
"23",1,1,1,1,1,1,1,0,1,0,0
"24",0,0,1,1,1,1,0,0,1,1,1
"25",0,1,1,1,1,0,1,1,1,0,0
"26",0,1,1,1,0,1,1,0,1,1,0
"27",0,1,1,0,0,0,0,1,1,1,1
"28",1,1,0,1,0,0,0,1,0,1,1
"29",0,1,1,0,1,0,0,0,1,1,0
"30",1,1,0,1,0,0,0,0,1,1,0
"31",1,0,0,0,1,0,1,1,0,1,1
"32",0,0,0,0,0,1,0,1,1,0,0
"33",0,0,0,1,0,0,0,0,1,0,1
"34",1,0,1,0,0,1,1,1,0,1,1
"35",1,1,1,0,1,1,0,1,1,1,0
"36",0,1,0,1,0,1,1,0,0,1,1
"37",1,0,0,0,1,0,1,0,1,0,0
"38",0,1,0,1,1,0,1,1,1,0,1
"39",1,1,0,1,0,0,1,0,0,1,0
"40",0,1,1,1,0,0,1,1,0,0,0
"41",0,0,1,0,1,0,0,1,0,1,0
"42",0,0,0,0,0,0,0,0,0,1,0
"43",1,1,1,1,1,1,1,0,1,1,0
"44",0,1,0,0,0,1,1,0,0,0,0
"45",0,0,0,0,1,0,0,0,0,0,0
"46",0,0,1,0,0,0,1,0,1,0,1
"47",1,0,1,1,1,0,1,1,0,1,1
"48",1,0,1,0,0,0,0,1,1,0,0
"49",0,0,1,0,0,0,1,0,1,1,1
"50",1,1,0,0,1,0,1,0,0,1,1
"51",1,0,1,0,0,0,0,0,0,0,1
"52",1,1,1,0,0,0,0,0,1,1,0
"53",0,1,1,0,0,1,0,1,0,1,0
"54",1,1,1,1,1,0,0,1,1,1,0
"55",0,0,0,0,1,1,1,0,0,0,1
"56",1,0,0,1,1,0,1,0,1,0,1
"57",1,1,0,0,1,0,0,1,1,1,0
"58",1,0,1,1,1,1,1,0,0,1,1
"59",1,0,0,1,1,1,0,1,1,1,1
"60",0,1,1,1,1,1,0,0,1,0,0
"61",1,0,0,0,1,1,1,0,1,0,1
"62",0,1,1,0,0,1,0,0,0,0,1
"63",1,0,1,0,1,0,0,0,0,1,1
"64",1,0,1,0,1,1,1,0,1,1,0
"65",0,1,1,1,0,1,1,1,0,0,1
"66",1,1,1,0,1,1,1,1,1,1,0
"67",1,1,1,0,0,0,0,1,1,0,1
"68",1,1,0,0,1,1,1,1,0,0,1
"69",0,1,0,1,1,0,1,1,1,1,1
"70",0,1,1,1,1,1,1,0,1,1,0
"71",1,0,0,1,0,0,0,0,0,0,1
"72",0,0,0,1,0,0,0,1,0,1,0
"73",0,0,1,1,0,0,0,0,0,1,0
"74",0,1,1,1,1,0,0,1,0,0,0
"75",1,1,1,0,1,0,1,0,1,0,0
"76",1,0,1,0,0,0,0,1,0,1,0
"77",1,0,1,1,0,0,1,1,1,0,1
"78",0,0,1,0,0,0,0,0,1,1,1
"79",0,0,0,0,0,0,1,1,0,1,1
"80",0,1,0,1,1,1,1,1,1,0,0
"81",0,0,0,0,1,0,0,1,0,1,1
"82",1,0,0,0,0,1,0,1,0,1,0
"83",0,1,1,1,0,0,0,0,1,0,1
"84",1,1,1,0,0,1,1,0,0,0,1
"85",0,0,1,0,0,1,1,0,1,1,0
"86",0,0,1,1,1,1,1,1,0,0,0
"87",0,1,0,0,1,0,0,1,1,1,0
"88",1,1,0,0,0,0,0,1,0,0,0
"89",1,0,1,1,1,1,1,0,1,1,1
"90",0,0,0,1,0,1,0,1,0,0,1
"91",1,1,1,0,0,1,1,1,0,1,0
"92",1,0,0,0,0,0,0,1,0,1,1
"93",1,1,0,1,0,0,1,0,1,0,0
"94",0,1,1,1,0,0,1,1,0,1,0
"95",1,0,1,0,1,0,1,0,0,1,1
"96",1,0,1,0,1,0,1,0,0,0,1
"97",1,1,1,0,0,0,1,0,1,1,0
"98",0,1,0,1,0,1,0,0,0,0,1
"99",0,0,1,1,0,1,0,0,0,1,1
"100",1,1,0,0,0,1,0,0,1,0,0
"101",0,1,1,1,1,1,1,1,1,1,1
"102",1,1,1,1,0,0,0,0,1,1,1
"103",1,0,1,1,1,1,0,1,1,1,0
"104",1,0,0,0,0,0,1,1,1,0,1
"105",1,1,1,0,1,0,1,1,1,0,1
"106",1,1,0,1,0,0,0,1,1,1,1
"107",0,1,0,0,1,1,0,1,1,1,1
"108",1,1,1,0,1,1,0,1,1,0,0
"109",0,0,0,0,0,1,0,1,1,1,0
"110",1,1,0,1,0,0,1,0,0,0,0
"111",1,0,0,1,0,0,0,1,1,1,0
"112",0,1,1,1,1,0,1,1,0,1,0
"113",1,1,0,1,1,0,1,1,0,0,1
"114",1,1,0,1,0,0,1,1,0,1,1
"115",0,1,0,0,0,1,0,1,1,1,1
"116",1,0,1,0,1,1,0,0,1,1,0
"117",0,1,1,0,1,1,1,1,0,1,0
"118",1,1,0,0,1,0,1,1,1,0,0
"119",1,0,0,1,1,1,0,0,0,1,0
"120",1,1,0,0,1,0,0,0,1,0,1
"121",0,0,1,0,1,0,0,1,1,1,0
"122",0,1,0,1,1,0,0,1,0,0,1
"123",1,1,1,1,1,1,0,1,1,0,1
"124",1,1,1,0,1,1,0,1,0,0,0
"125",0,1,0,0,0,0,1,0,0,1,1
"126",1,0,0,0,1,1,1,1,1,1,0
"127",1,0,1,0,1,1,0,1,0,0,1
"128",1,0,0,1,0,1,0,0,1,0,0
"129",1,0,1,0,0,1,1,0,1,0,0
"130",0,1,0,1,1,1,0,0,1,1,1
"131",1,0,1,0,0,0,1,0,1,1,1
"132",0,1,1,0,1,0,0,0,0,0,0
"133",1,1,0,0,1,0,0,1,0,0,0
"134",0,0,0,1,0,0,1,0,0,0,1
"135",0,0,0,0,1,1,1,1,1,1,0
"136",0,0,0,0,0,0,0,0,0,0,0
"137",0,1,0,1,1,1,0,0,0,1,1
"138",1,1,0,0,0,1,1,0,0,0,0
"139",1,1,1,1,0,1,0,1,1,1,1
"140",1,0,0,1,0,0,0,0,1,1,1
"141",0,1,1,1,0,1,0,1,1,1,1
"142",1,1,0,1,0,1,1,0,1,1,1
"143",1,0,1,1,1,1,0,1,0,1,0
"144",0,1,0,0,1,1,1,1,0,0,1
"145",1,1,0,0,0,1,0,1,0,0,1
"146",0,1,0,0,1,1,0,0,0,1,0
"147",0,1,1,1,0,1,1,1,1,0,1
"148",1,1,0,1,1,0,1,0,1,1,0
"149",1,1,0,1,1,1,1,0,1,0,1
"150",1,1,0,0,0,1,0,0,1,1,0
"151",1,1,1,0,1,1,1,1,1,0,0
"152",1,1,0,1,1,0,0,1,0,1,1
"153",1,0,0,0,1,1,1,1,1,0,0
"154",0,0,1,0,0,1,0,0,1,1,0
"155",0,0,1,0,0,1,1,1,1,1,1
"156",0,0,1,1,1,1,0,1,1,0,0
"157",1,1,0,1,0,1,0,1,1,0,0
"158",1,1,1,1,0,1,1,0,1,1,0
"159",0,0,1,1,0,1,1,1,1,0,0
"160",0,1,1,1,1,0,0,1,1,1,0
"161",0,1,1,0,0,0,0,1,1,0,1
"162",1,1,0,0,0,1,1,1,0,0,1
"163",1,1,0,0,1,0,0,1,1,0,0
"164",0,1,1,1,1,1,0,1,0,0,1
"165",1,1,1,1,0,1,1,0,0,1,0
"166",0,0,1,1,1,1,0,0,1,0,1
"167",0,1,0,1,0,0,0,0,1,0,0
"168",1,0,1,0,1,0,0,1,1,1,0
"169",1,1,1,1,0,0,1,1,1,1,0
"170",1,0,1,0,0,1,1,1,0,0,1
"171",0,1,0,1,0,0,0,0,0,1,0
"172",1,0,1,1,1,1,0,0,0,1,1
"173",1,0,1,0,1,0,1,0,1,1,1
"174",1,1,1,1,0,0,1,0,1,0,1
"175",1,0,1,1,0,1,1,0,0,0,1
"176",0,0,1,0,0,0,1,1,1,1,0
"177",0,1,0,0,0,1,0,0,0,0,0
"178",1,0,1,0,0,0,0,1,1,1,0
"179",1,0,1,0,1,1,1,1,0,1,1
"180",1,0,1,0,0,1,0,0,0,1,0
"181",1,1,1,1,0,0,1,0,0,1,1
"182",0,1,0,0,0,1,1,1,0,1,1
"183",1,1,1,1,0,1,1,0,0,0,0
"184",1,1,0,0,0,0,1,0,0,0,1
"185",0,0,0,0,0,0,1,0,1,0,0
"186",1,0,1,0,0,0,0,0,1,1,1
"187",0,1,1,1,1,0,0,0,1,0,1
"188",1,0,1,1,0,0,0,1,0,0,1
"189",1,1,0,1,1,0,0,0,0,1,0
"190",0,0,0,1,1,1,1,0,0,0,0
"191",1,0,0,0,1,0,1,0,0,0,0
"192",1,0,0,0,0,1,0,1,1,1,0
"193",0,1,1,0,1,0,0,1,0,1,1
"194",1,1,0,0,0,0,0,0,0,0,1
"195",1,1,0,1,0,1,1,1,1,1,0
"196",0,1,1,0,1,0,1,1,0,1,1
"197",0,0,0,1,1,0,1,0,0,0,1
"198",1,0,1,1,1,0,1,0,1,0,0
"199",0,1,0,0,0,1,0,1,0,1,1
"200",1,1,0,0,0,0,1,1,1,0,0
"201",1,1,0,1,0,0,0,0,0,0,0
"202",1,1,0,1,0,0,1,1,1,0,1
"203",0,1,1,1,1,0,1,0,0,0,1
"204",1,0,0,0,0,1,1,1,1,1,0
"205",0,1,0,0,1,0,1,0,0,0,1
"206",1,0,1,1,0,0,1,1,0,0,1
"207",1,1,0,1,0,1,1,1,0,1,0
"208",0,1,1,0,0,1,0,0,1,1,1
"209",0,0,1,0,0,0,0,0,0,0,1
"210",1,1,1,1,0,0,1,1,1,0,0
"211",1,0,1,0,1,0,1,1,1,0,0
"212",1,0,1,0,0,0,1,1,0,0,0
"213",0,1,1,1,1,1,1,0,1,0,0
"214",0,1,0,1,1,1,0,1,0,1,0
"215",0,0,0,1,1,0,1,1,0,0,0
"216",1,0,1,0,0,1,0,0,0,0,0
"217",0,1,0,1,0,1,0,1,0,1,0
"218",0,1,1,1,1,1,0,1,1,0,1
"219",1,1,1,1,0,0,0,1,0,0,0
"220",1,1,1,0,0,1,0,1,1,0,0
"221",0,0,0,1,1,1,0,1,0,1,1
"222",0,1,0,0,1,0,1,1,0,0,0
"223",1,0,1,0,1,1,0,0,0,1,0
"224",1,1,0,0,1,1,0,0,0,0,0
"225",1,0,0,1,0,1,0,0,0,0,0
"226",1,0,0,0,1,0,0,1,1,0,1
"227",0,1,0,1,0,1,0,0,0,1,1
"228",1,0,0,1,0,1,1,1,1,0,1
"229",1,0,0,1,1,1,1,0,0,0,0
"230",0,1,1,1,0,1,1,0,1,0,0
"231",0,1,1,0,1,0,0,1,1,0,1
"232",1,1,0,1,0,0,1,0,1,1,0
"233",0,0,1,0,0,0,0,1,1,0,0
"234",1,0,0,1,1,0,1,1,1,1,0
"235",0,1,0,0,0,0,1,1,1,1,0
"236",0,1,1,0,0,0,0,1,0,1,1
"237",0,0,1,0,0,1,0,0,1,0,0
"238",1,0,1,0,1,0,0,0,0,0,1
"239",1,0,0,0,0,0,1,0,0,0,0
"240",1,1,0,1,1,0,0,0,1,0,0
"241",0,0,0,0,0,1,0,0,0,1,1
"242",1,1,1,1,0,0,0,0,0,1,1
"243",1,0,1,1,1,1,0,1,1,0,0
"244",0,1,1,1,1,1,1,1,0,0,1
"245",1,0,0,1,1,0,1,0,1,1,1
"246",1,1,0,0,1,1,0,1,0,0,1
"247",1,0,1,0,1,0,1,1,0,0,0
"248",0,0,0,0,1,0,0,1,1,1,1
"249",0,1,0,0,1,0,0,0,1,0,1
"250",1,1,1,0,0,1,1,0,1,0,1
"251",0,0,0,0,0,0,0,1,0,0,1
"252",0,0,1,0,0,1,0,1,0,1,1
"253",1,1,1,1,1,0,1,0,1,1,1
"254",0,0,0,1,0,1,1,0,1,0,0
"255",1,1,1,0,1,0,1,1,0,0,1
"256",1,0,1,0,0,1,0,0,1,1,0
"257",0,0,1,1,1,0,1,1,0,1,1
"258",0,0,0,1,0,0,1,1,0,1,0
"259",0,1,0,1,0,0,0,1,0,0,1
"260",1,1,0,0,0,0,1,0,0,1,1
"261",0,0,0,1,1,0,1,0,0,1,1
"262",0,0,0,0,0,0,0,0,1,1,0
"263",1,1,1,0,0,0,1,1,1,1,1
"264",1,0,0,0,1,1,0,0,1,0,1
