"","f1_irr","f2_rel","f3_irr","f4_rel","f5_rel","f6_irr","target"
"1",1,1,1,1,1,1,1
"2",1,1,1,1,1,1,2
"3",1,1,1,1,1,2,1
"4",1,1,1,1,1,2,2
"5",1,1,1,1,1,3,1
"6",1,1,1,1,1,3,2
"7",0,1,1,1,1,4,1
"8",0,1,1,1,1,4,2
"9",1,1,1,1,2,1,1
"10",1,1,1,1,2,1,2
"11",1,1,1,1,2,2,1
"12",1,1,1,1,2,2,2
"13",1,1,1,1,2,3,1
"14",1,1,1,1,2,3,2
"15",0,1,1,1,2,4,1
"16",0,1,1,1,2,4,2
"17",1,1,1,1,3,1,1
"18",1,1,1,1,3,1,2
"19",1,1,1,1,3,2,1
"20",1,1,1,1,3,2,2
"21",1,1,1,1,3,3,1
"22",1,1,1,1,3,3,2
"23",0,1,1,1,3,4,1
"24",0,1,1,1,3,4,2
"25",1,1,1,2,1,1,1
"26",1,1,1,2,1,1,2
"27",1,1,1,2,1,2,1
"28",1,1,1,2,1,2,2
"29",1,1,1,2,1,3,1
"30",1,1,1,2,1,3,2
"31",0,1,1,2,1,4,1
"32",0,1,1,2,1,4,2
"33",1,1,1,2,2,1,1
"34",1,1,1,2,2,1,2
"35",1,1,1,2,2,2,1
"36",1,1,1,2,2,2,2
"37",1,1,1,2,2,3,1
"38",1,1,1,2,2,3,2
"39",0,1,1,2,2,4,1
"40",0,1,1,2,2,4,2
"41",1,1,1,2,3,1,1
"42",1,1,1,2,3,1,2
"43",1,1,1,2,3,2,1
"44",1,1,1,2,3,2,2
"45",1,1,1,2,3,3,1
"46",1,1,1,2,3,3,2
"47",0,1,1,2,3,4,1
"48",0,1,1,2,3,4,2
"49",1,1,2,1,1,1,1
"50",1,1,2,1,1,1,2
"51",1,1,2,1,1,2,1
"52",1,1,2,1,1,2,2
"53",1,1,2,1,1,3,1
"54",1,1,2,1,1,3,2
"55",0,1,2,1,1,4,1
"56",0,1,2,1,1,4,2
"57",1,1,2,1,2,1,1
"58",1,1,2,1,2,1,2
"59",1,1,2,1,2,2,1
"60",1,1,2,1,2,2,2
"61",1,1,2,1,2,3,1
"62",1,1,2,1,2,3,2
"63",0,1,2,1,2,4,1
"64",0,1,2,1,2,4,2
"65",1,1,2,1,3,1,1
"66",1,1,2,1,3,1,2
"67",1,1,2,1,3,2,1
"68",1,1,2,1,3,2,2
"69",1,1,2,1,3,3,1
"70",1,1,2,1,3,3,2
"71",0,1,2,1,3,4,1
"72",0,1,2,1,3,4,2
"73",1,1,2,2,1,1,1
"74",1,1,2,2,1,1,2
"75",1,1,2,2,1,2,1
"76",1,1,2,2,1,2,2
"77",1,1,2,2,1,3,1
"78",1,1,2,2,1,3,2
"79",0,1,2,2,1,4,1
"80",0,1,2,2,1,4,2
"81",1,1,2,2,2,1,1
"82",1,1,2,2,2,1,2
"83",1,1,2,2,2,2,1
"84",1,1,2,2,2,2,2
"85",1,1,2,2,2,3,1
"86",1,1,2,2,2,3,2
"87",0,1,2,2,2,4,1
"88",0,1,2,2,2,4,2
"89",1,1,2,2,3,1,1
"90",1,1,2,2,3,1,2
"91",1,1,2,2,3,2,1
"92",1,1,2,2,3,2,2
"93",1,1,2,2,3,3,1
"94",1,1,2,2,3,3,2
"95",0,1,2,2,3,4,1
"96",0,1,2,2,3,4,2
"97",0,1,3,1,1,1,1
"98",0,1,3,1,1,1,2
"99",0,1,3,1,1,2,1
"100",0,1,3,1,1,2,2
"101",1,1,3,1,1,3,1
"102",1,1,3,1,1,3,2
"103",0,1,3,1,1,4,1
"104",0,1,3,1,1,4,2
"105",0,1,3,1,2,1,1
"106",0,1,3,1,2,1,2
"107",0,1,3,1,2,2,1
"108",0,1,3,1,2,2,2
"109",0,1,3,1,2,3,1
"110",0,1,3,1,2,3,2
"111",0,1,3,1,2,4,1
"112",0,1,3,1,2,4,2
"113",0,1,3,1,3,1,1
"114",0,1,3,1,3,1,2
"115",0,1,3,1,3,2,1
"116",0,1,3,1,3,2,2
"117",0,1,3,1,3,3,1
"118",0,1,3,1,3,3,2
"119",0,1,3,1,3,4,1
"120",0,1,3,1,3,4,2
"121",0,1,3,2,1,1,1
"122",0,1,3,2,1,1,2
"123",0,1,3,2,1,2,1
"124",0,1,3,2,1,2,2
"125",1,1,3,2,1,3,1
"126",1,1,3,2,1,3,2
"127",0,1,3,2,1,4,1
"128",0,1,3,2,1,4,2
"129",0,1,3,2,2,1,1
"130",0,1,3,2,2,1,2
"131",0,1,3,2,2,2,1
"132",0,1,3,2,2,2,2
"133",0,1,3,2,2,3,1
"134",0,1,3,2,2,3,2
"135",0,1,3,2,2,4,1
"136",0,1,3,2,2,4,2
"137",0,1,3,2,3,1,1
"138",0,1,3,2,3,1,2
"139",0,1,3,2,3,2,1
"140",0,1,3,2,3,2,2
"141",0,1,3,2,3,3,1
"142",0,1,3,2,3,3,2
"143",0,1,3,2,3,4,1
"144",0,1,3,2,3,4,2
"145",1,2,1,1,1,1,1
"146",1,2,1,1,1,1,2
"147",1,2,1,1,1,2,1
